,exchangeId,encodedCustNo,name,nickName,isAlwaysOn,jobCount,industryMean,mean,meanNonSupervisor,medianNonSupervisor
507,2845,13qu1mip,遠東國際商業銀行股份有限公司,遠東銀,True,111,134.3,136.9,127.1,113.6
651,3219,13wl9dg0,倚強科技股份有限公司,倚強科,True,17,134.7,150.4,138.2,113.6
1445,6719,cusom54,力智電子股份有限公司,力智,True,10,193.8,141.7,126.5,113.5
457,2612,k40bz00,中國航運股份有限公司,中航,True,6,127.2,142.0,119.2,113.5
1000,4938,d6gs5o8,和碩集團_和碩聯合科技股份有限公司,和碩,True,349,138.1,133.8,134.6,113.4
623,3130,12v3o7uw,104人力銀行_一零四資訊科技股份有限公司,一零四,True,63,100.7,139.0,128.0,113.2
504,2834,1qqhvko,臺灣中小企業銀行股份有限公司,臺企銀,True,72,134.3,130.8,127.9,113.2
1590,8261,7lpzpx4,富鼎先進電子股份有限公司,富鼎,True,7,193.8,165.4,141.4,113.0
454,2609,1xgouag,陽明海運股份有限公司,陽明,True,16,127.2,135.7,128.4,113.0
283,2301,aqae7i0,光寶科技股份有限公司,光寶科,True,337,138.1,151.4,141.4,113.0
1647,8926,13tm3fn4,台灣汽電集團_台灣汽電共生股份有限公司,台汽電,True,4,102.0,228.4,131.5,112.8
1089,5403,5odo9iw,中菲電腦股份有限公司,中菲,True,22,107.4,161.4,138.6,112.8
1405,6613,7d6e2oo,朋億股份有限公司,朋億*,True,11,134.7,157.0,132.7,112.7
39,1313,26j89i8,聯成化學科技股份有限公司,聯成,True,16,111.7,125.8,123.3,112.7
1136,5534,24mq2bs,長虹建設股份有限公司,長虹,True,1,105.5,161.0,112.7,112.7
1618,8432,oe2g9u0,東生華製藥股份有限公司,東生華,True,5,88.8,137.0,119.8,112.5
1083,5371,a5hppdk,中強光電股份有限公司,中光電,True,47,90.6,111.6,120.3,112.5
397,2471,9l7gjnk,資通電腦股份有限公司,資通,True,19,107.4,131.3,126.4,112.3
600,3062,7mg64m8,建漢科技股份有限公司,建漢,True,23,101.1,137.5,116.4,112.3
